127.0.0.1 - - [04/May/2020:10:18:35 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:36 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:37 +0900] "GET /bigdata/img/dog01.png HTTP/1.1" 200 221158
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:37 +0900] "GET /bigdata/css/common.css HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:46 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 5098
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:46 +0900] "GET /bigdata/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:46 +0900] "GET /bigdata/img/dog01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:10:18:46 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [04/May/2020:10:19:12 +0900] "GET /bigdata/login/login.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [04/May/2020:10:19:12 +0900] "GET /bigdata/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:10:19:12 +0900] "GET /bigdata/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2020:10:20:23 +0900] "POST /bigdata/login/login_form.jsp HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [04/May/2020:10:20:27 +0900] "POST /bigdata/login/login_form.jsp HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [04/May/2020:10:20:28 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 5335
0:0:0:0:0:0:0:1 - - [04/May/2020:10:20:30 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 200 5420
0:0:0:0:0:0:0:1 - - [04/May/2020:10:20:30 +0900] "GET /bigdata/js/board.js HTTP/1.1" 304 -
